timestamp,endpoint_id,ip_address,bandwidth,latency,packet_loss,cpu_utilization,memory_utilization,active_connections,packets_sent,packets_received,label,anomaly_type
2026-09-01 01:10:22,EP-003,192.168.1.103,132.0,37.0,0.07,45.3,39.2,61,6085,6207,0,Normal
2026-09-01 01:10:39,EP-004,192.168.1.104,285.3,15.2,0.34,39.1,41.9,79,5421,5516,0,Normal
2026-09-01 01:10:56,EP-002,192.168.1.102,412.9,26.6,0.34,47.0,43.4,150,13732,13598,0,Normal
2026-09-01 01:11:13,EP-002,192.168.1.102,169.5,92.3,0.85,99.3,92.7,296,14459,14187,1,Resource Exhaustion
2026-09-01 01:11:30,EP-004,192.168.1.104,233.9,19.9,0.61,31.4,36.7,88,5488,5587,0,Normal
2026-09-01 01:11:47,EP-003,192.168.1.103,303.5,37.8,1.06,46.4,56.0,74,9395,9111,0,Normal
2026-09-01 01:12:04,EP-002,192.168.1.102,202.4,33.2,0.48,44.2,44.0,67,11243,10696,0,Normal
2026-09-01 01:12:21,EP-002,192.168.1.102,164.7,274.6,27.73,36.1,31.2,97,5066,2576,1,Packet Loss Surge
2026-09-01 01:12:38,EP-002,192.168.1.102,110.9,33.9,0.63,41.6,43.6,84,7442,7160,0,Normal
2026-09-01 01:12:55,EP-004,192.168.1.104,183.7,18.3,0.0,22.0,38.2,130,6540,6731,0,Normal
2026-09-01 01:13:12,EP-003,192.168.1.103,151.2,109.3,0.56,98.7,91.6,241,7198,7103,1,Resource Exhaustion
2026-09-01 01:13:29,EP-005,192.168.1.105,211.8,16.7,0.14,36.3,50.9,133,11750,11172,0,Normal
2026-09-01 01:13:46,EP-004,192.168.1.104,283.8,34.2,0.93,29.1,25.5,72,10251,10038,0,Normal
2026-09-01 01:14:03,EP-005,192.168.1.105,349.4,32.2,1.19,25.5,42.7,77,13814,13699,0,Normal
2026-09-01 01:14:20,EP-001,192.168.1.101,259.3,29.1,0.99,49.3,35.8,117,4355,4521,0,Normal
2026-09-01 01:14:37,EP-002,192.168.1.102,225.0,17.5,0.59,31.5,52.1,127,17387,16534,0,Normal
2026-09-01 01:14:54,EP-002,192.168.1.102,280.3,34.8,0.65,18.2,29.9,55,7403,7537,0,Normal
2026-09-01 01:15:11,EP-005,192.168.1.105,358.8,27.4,0.34,19.4,48.7,82,11246,11242,0,Normal
2026-09-01 01:15:28,EP-004,192.168.1.104,288.1,21.8,0.27,26.9,43.4,113,17011,16396,0,Normal
